Cheminformatics Data Scientist,​​The Cambridge Crystallographic Data Centre,https://uk.indeed.com/rc/clk?jk=29e0417b221a1ea2&fccid=d974517688ffe1c2&vjs=3
Data Scientist,KYMIRA,https://uk.indeed.com/rc/clk?jk=5b6fa479a0bde2fd&fccid=e8c97c3630b3ac20&vjs=3
Data Scientist,Burberry,https://uk.indeed.com/rc/clk?jk=5573e1b6447a8af6&fccid=396f5ba534ee585d&vjs=3
"Data Scientist, Marketing",Google,https://uk.indeed.com/rc/clk?jk=1c99d10a529a5b5d&fccid=a5b4499d9e91a5c6&vjs=3
Data Scientist,The Open University UK,https://uk.indeed.com/rc/clk?jk=243b63f651a3a078&fccid=f97e46d2424385fa&vjs=3
Data Scientist - Social Media - Remote,Data Idols,https://uk.indeed.com/rc/clk?jk=c7448faabc307215&fccid=19d1d48be8ab494a&vjs=3
Junior Data Scientist,Kwalee,https://uk.indeed.com/rc/clk?jk=6d3f07e5f165cbbe&fccid=069a96b26806555a&vjs=3
Data Scientist,Data Idols,https://uk.indeed.com/rc/clk?jk=00d4d3252a0d0df1&fccid=19d1d48be8ab494a&vjs=3
"Senior Data Scientist, Personal Banking",Monzo,https://uk.indeed.com/rc/clk?jk=b4e724c9d45bb6d7&fccid=73da13d58dc1080c&vjs=3
Data Scientist - Manager,PwC,https://uk.indeed.com/rc/clk?jk=b2ae1be9eb74191f&fccid=5e964c4afc56b180&vjs=3
Data Scientist,Uniting People,https://uk.indeed.com/company/Uniting-People/jobs/Data-Scientist-17d11b60a2c6fc24?fccid=aef988f1dea8681c&vjs=3
Data Scientist – NLP / Semantic Modelling / Lexical Analysis,Shift F5,https://uk.indeed.com/rc/clk?jk=82dba919689a81e9&fccid=51cdf18e3e4b5a5a&vjs=3
JUNIOR DATA SCIENTIST/ANALYST - 1 YEAR UNIVERSITY...,Medialab,https://uk.indeed.com/rc/clk?jk=c08acb0458a90fe8&fccid=4f2893bccebbf347&vjs=3
Data Scientist,Intel,https://uk.indeed.com/rc/clk?jk=bbf82a8e74c02334&fccid=936367796261bd6e&vjs=3
Research Data Scientist,Barts Health NHS Trust,https://uk.indeed.com/rc/clk?jk=ac50bf6a2e44a8b1&fccid=7691ebb71b24124c&vjs=3
Intern/ Oil Data scientist,Statkraft,https://uk.indeed.com/rc/clk?jk=b5ad1d1fae29751e&fccid=40a74c5136c4b33d&vjs=3
Customer Analytics Data Scientist Senior Associate,PwC,https://uk.indeed.com/rc/clk?jk=a3ddc555c853cd57&fccid=5e964c4afc56b180&vjs=3
Data Scientist,MARS,https://uk.indeed.com/rc/clk?jk=9d358c1b0acc9073&fccid=6f49e88f14c18b75&vjs=3
Data Scientist,Octopus Energy,https://uk.indeed.com/rc/clk?jk=1be85a8b3f3d466d&fccid=94f2a41501d80d3d&vjs=3
"Data Scientist, Financial Crime",Monzo,https://uk.indeed.com/rc/clk?jk=c91be41078a88731&fccid=73da13d58dc1080c&vjs=3
Data Scientist,Mention Me,https://uk.indeed.com/company/MentionMe/jobs/Data-Scientist-91c98c50853657dc?fccid=5c4ba8bbf0a75a3b&vjs=3
Genomic Data Scientist - Diverse Data/Population Genomics,Genomics England,https://uk.indeed.com/rc/clk?jk=9418a246cfced443&fccid=2c9f16151cc689de&vjs=3
Data Science Degree Apprenticeship Level 6,Government Statistical Service,https://uk.indeed.com/rc/clk?jk=cb909affedc52384&fccid=dae1bd9f8c3a7983&vjs=3
Senior Data Scientist,oxfordbiom,https://uk.indeed.com/company/oxfordbiom/jobs/Senior-Data-Scientist-911ca7f565233959?fccid=0dc169ce815961ae&vjs=3
DATA SCIENTIST,Intec Select,https://uk.indeed.com/rc/clk?jk=68003434b13f48ab&fccid=1845b845b5c5b66e&vjs=3
"Customer Analytics Data Scientist, Manager",PwC,https://uk.indeed.com/rc/clk?jk=c0fdec34a227cef5&fccid=5e964c4afc56b180&vjs=3
Junior Data Scientist,MarketCast,https://uk.indeed.com/rc/clk?jk=6e7e69fb0e0584ce&fccid=ea7bc0cfa9688f3d&vjs=3
Associate Data Scientists,Instem,https://uk.indeed.com/rc/clk?jk=5a3909a59f4ffe10&fccid=c6c157835add6826&vjs=3
Contract Data Scientist - NLP,Talenting,https://uk.indeed.com/rc/clk?jk=81fa085584b780c0&fccid=3b93fef79b0b7b69&vjs=3
Data Scientist,Kwalee,https://uk.indeed.com/rc/clk?jk=c0d5f5d4aa7c7512&fccid=069a96b26806555a&vjs=3
"Consultant, Data Scientist, HealthTech Products Hub, SAMA, C...",Deloitte,https://uk.indeed.com/rc/clk?jk=8ce74f9367afda81&fccid=9e215d88a6b33622&vjs=3
"Data Scientist, Climate",NatWest Group,https://uk.indeed.com/rc/clk?jk=ea5d78b68c959100&fccid=4a3a2b1eb3ec0691&vjs=3
Data Scientist,Axa,https://uk.indeed.com/rc/clk?jk=ba12721abd204bdb&fccid=0af2461c02cb44e2&vjs=3
Data Scientist,Everflow Water,https://uk.indeed.com/company/Everflow-Water/jobs/Data-Scientist-200b2c431af1e98f?fccid=a66f61de9346741c&vjs=3
Genome Analyst / Data Scientist,Genomics England,https://uk.indeed.com/rc/clk?jk=de911f62e7fb6d91&fccid=2c9f16151cc689de&vjs=3
Junior Data Scientist,ASDA,https://uk.indeed.com/rc/clk?jk=74cda91d0406861e&fccid=a23ad4a5b3d8fc8f&vjs=3
Data Scientist,Samsung Electronics,https://uk.indeed.com/rc/clk?jk=bf1b30ad6c85da78&fccid=da3c7fed78dd1607&vjs=3
Junior Data Scientist,Department for Education,https://uk.indeed.com/rc/clk?jk=d1fd3908080f5e32&fccid=cbda7e147ac9461f&vjs=3
Data Science Engineer/Scientist/Analyst,Banana-Apps,https://uk.indeed.com/rc/clk?jk=8561f8aaa5661887&fccid=42dddcd4acf47909&vjs=3
Graduate Data Scientist,THG,https://uk.indeed.com/rc/clk?jk=5ab88ea54a966581&fccid=64c76e512365bea7&vjs=3
"Data Scientist, INRIX, Manchester (Office & Home Working)",INRIX,https://uk.indeed.com/company/Inrix/jobs/Data-Scientist-a428ada1bdddc756?fccid=98fc8bcbe195e2c4&vjs=3
Data Scientist,BCA,https://uk.indeed.com/rc/clk?jk=cabc746eebfbff04&fccid=d7b9719624a3ced4&vjs=3
Data Scientist,Invesco,https://uk.indeed.com/rc/clk?jk=f95129568cd5a19d&fccid=61e847dda35dc377&vjs=3
